"Index","Std_Residual","Fitted","Leverage","Cooks_D"
3611,7.81019950059997,20.3539157407582,0.00353563008468398,0.0180363251134683
3610,7.2058549166376,20.3578832648113,0.00346751791399081,0.0150562575708328
3616,6.89155508564787,20.4751603432891,0.00388504298891537,0.0154361711524409
3612,6.76288711427936,21.0066053556163,0.0038775262746994,0.0148362806964448
3604,6.63887482370191,19.5646370951174,0.00312379139303407,0.011509289302208
3603,6.63134254434313,19.409063441289,0.00307320472621909,0.0112966559350575
3602,6.55058377068383,19.8747782398942,0.00327868239226074,0.0117626280743689
3609,6.46205529965733,20.3709218277949,0.00337758189978928,0.0117932995835088
3614,6.44138173386828,20.3451732854993,0.00366994776347164,0.0127360126383778
3617,6.42480790741278,20.3471957670583,0.00400852227829356,0.0138441956439143
3613,6.37831485273098,20.3978355055306,0.00373425059422667,0.0127074649289887
3618,6.35733600062457,19.8690682948165,0.00383483039231594,0.0129653394873635
3607,6.34684970044434,19.8625415424046,0.00310980343591229,0.01047178689806
3606,6.18578945124195,19.8388704924123,0.00313304147234353,0.0100216207470574
3608,6.13917639510908,20.3236019421241,0.00331680919409212,0.0104520705547883
3615,5.84191766842861,20.379895939117,0.00382149307703079,0.0109100195263157
3605,5.6533528135055,19.7746991966614,0.00315136013292861,0.00841976071464364
3619,5.51987926786388,19.9605466211586,0.00389969788738912,0.00994044445729752
358,5.30744186206568,10.3407986185826,0.00362437420753536,0.00853884600633485
3620,5.15952332398516,19.1103691800333,0.0036834354788107,0.0082015064373253
3630,5.12747311922985,15.7041757007924,0.00335756358463427,0.00738091848880762
3627,4.96530782227615,16.173533543841,0.00315128694275052,0.00649486018681477
3625,4.94464731367584,16.8127315072196,0.00316398577007678,0.00646696031475982
359,4.87827038334458,9.93754985255707,0.00299087468627165,0.00594907677191166
3629,4.80553791127645,15.3607800141587,0.00312686949883247,0.00603632529123897
3633,4.69936175252496,14.4859740123923,0.00347019348288765,0.00640855190954285
3631,4.52373535424802,15.2381319291607,0.00340667282713037,0.00582942320712193
360,4.4742449644918,8.9008742277137,0.00246312131102831,0.00411922117471687
3628,4.43919103253235,15.6779901611175,0.00312871283463756,0.00515410236167397
3624,4.33893960537411,16.5607903854636,0.00309778382145319,0.00487511101755791
3634,4.32131317586196,14.5518743401476,0.00360332737953087,0.00562758016998787
3626,4.31087812940822,16.8694282664429,0.00320337641116082,0.00497681685946209
3622,4.26012927091075,17.9784051375766,0.00351732919210213,0.00533835652809546
3632,4.15607785160647,13.5763699367887,0.00303553381677236,0.00438269752176392
3621,4.12200348683468,17.572384833662,0.00338679861846568,0.00481169623055054
3623,4.09291372520753,17.3970600236242,0.00331308035607469,0.00464041845345911
407,4.08926224001587,11.5089894554699,0.000937474434060081,0.0013076015970728
408,4.0743657598284,11.1038575087571,0.000976942627948815,0.0013527960580276
405,4.01740406897165,12.1271526412759,0.000923234505696342,0.00124286212290427
409,4.00528332430899,10.9918622851585,0.000984601339855968,0.00131756933611108
1094,-3.85684470128958,25.0664317548628,0.01081726004513,0.0135557577266874
1091,-3.80743630046075,25.5125399003269,0.0111990147076102,0.0136821696422117
406,3.79013816750693,11.7723250244858,0.00092441416775178,0.00110763605717878
1090,-3.78452024054291,25.683232528016,0.0110722581992512,0.0133632490752462
1093,-3.7756098879716,24.5997993530848,0.0103395864238834,0.012411090783075
403,3.77185041481422,12.0603823437879,0.000900358053764703,0.00106840060773774
1092,-3.76603348814461,24.717189268955,0.0108648631560597,0.01298242254453
391,3.72165873440722,11.8653041381843,0.00101770873698636,0.00117586526445858
361,3.71972175868294,7.66153970721874,0.00216016275618974,0.00249611907899498
404,3.70084959254275,12.1495011196783,0.000933386167403093,0.00106632241476992
2487,3.5606781070312,8.04821497289312,0.00663381165361673,0.00705566489165712
402,3.4182706210762,12.0588739706563,0.000880478789354489,0.000858090497474434
392,3.40825300709145,12.1434633471399,0.000968951642884769,0.000938870135561005
401,3.39537029055548,12.1692072442883,0.000940891976305926,0.000904777150009392
2489,3.33568765960502,7.83312152162637,0.00563908944248492,0.00525841006080272
396,3.29726822797353,12.2348895230549,0.000902908775485962,0.000818772955027599
393,3.29156350596938,12.0052242871618,0.000946029221246943,0.000854946290112836
394,3.27467605391404,11.8531958328009,0.000869869882347394,0.000778014481153206
1811,3.21260991045805,13.4530540993145,0.00366706914765595,0.00316555131381592
2844,3.16918454277819,16.8404487846784,0.00237636831775237,0.00199370472233361
3015,3.16796477608056,7.78737860781457,0.00084441366527118,0.000706808191760926
2490,3.1310701341278,8.15596665833855,0.00578845429376191,0.00475650712276032
3014,3.12930517969414,7.79062302139583,0.000884386830760549,0.00072233908236239
2488,3.12806621303989,7.67208414987597,0.0051705865131698,0.00423800847098224
400,3.12269196164013,12.014010569566,0.000931206955306737,0.000757404466966672
395,3.10835617665163,12.1598396409271,0.000910993588406194,0.000734161234521489
398,3.08466397863149,12.0022134551386,0.000917857463502662,0.000728464722786149
411,3.07454588831396,10.2968157166579,0.00109522754981037,0.000863696151270443
399,3.06243749368411,12.5885060093385,0.000966390854300326,0.000756007202048538
2491,3.04172417333608,8.55503961753173,0.00473806652022638,0.00367047417296837
3012,3.03900679093529,7.63986393710186,0.00096550170263578,0.000743797396123204
3018,3.02788539597169,7.52550035760305,0.000872615086617312,0.000667266735710415
