"Variable","VIF"
"energy_per_capita",7.04211100855263
"gas_co2_per_capita",6.55810130129486
"methane_per_capita",5.81030164648699
"gdp_per_capita",3.52210911042001
"oil_co2_per_capita",3.14022256633856
"flaring_co2_per_capita",2.3204441161692
"cement_co2_per_capita",1.84995631912859
"nitrous_oxide_per_capita",1.61370259804252
"coal_co2_per_capita",1.34220103398616
"year",1.33462445979684
"land_use_change_co2_per_capita",1.15323872478246
