"Metric","Linear_Model","LogLog_Model"
"N",3791,3791
"R²",0.712076333889971,0.875954139527741
"Adj R²",0.711848245429889,0.875855872408276
"Residual SE",9282.99310118075,0.364641833191201
"AIC",80033.0816668671,3115.36734702198
"BIC",80064.2835924447,3146.56927259956
"BP Test p-value",3.5371583954071e-276,3.14982230918338e-05
"SW Test p-value",6.4595292255352e-46,1.29460244869506e-23
"Max VIF",2.46066168561998,4.13793396376906
