"Index","Leverage","Cooks_D","DFFITS","Std_Residual","High_Leverage","High_Cooks","High_DFFITS"
2777,0.00163465367704827,0.00516666908912822,-0.143978281997873,-3.55277079694656,FALSE,TRUE,TRUE
2275,0.00181433094260443,0.0044713398195758,-0.133891165350143,-3.13686801414766,FALSE,TRUE,TRUE
2778,0.00152054921832772,0.00446566241132405,-0.133839320346032,-3.4248555939938,FALSE,TRUE,TRUE
2274,0.00179009994966648,0.00421093613016415,-0.129926254951092,-3.06472576195271,FALSE,TRUE,TRUE
2776,0.00142957508642514,0.00409586424722154,-0.128173213310937,-3.38289592408381,FALSE,TRUE,TRUE
2773,0.00162032967498326,0.00399687078528181,-0.12658835518567,-3.13860181365739,FALSE,TRUE,TRUE
2775,0.00159784209687899,0.00397330939801478,-0.126216011412129,-3.15131643147408,FALSE,TRUE,TRUE
2774,0.00156683716602114,0.0036984029623101,-0.121763371621833,-3.0703273149724,FALSE,TRUE,TRUE
2270,0.00133503051760357,0.00334280220379744,-0.11577043707905,-3.16263918111489,FALSE,TRUE,TRUE
2269,0.00131559541670058,0.00327612431985398,-0.114609182378913,-3.15401054209355,FALSE,TRUE,TRUE
2267,0.00132203111758993,0.00301421540695581,-0.1099204556832,-3.01792911055488,FALSE,TRUE,TRUE
1588,0.000520864007262809,0.00287696896224607,-0.107572019916782,-4.69918211627982,FALSE,TRUE,TRUE
3432,0.000621781644719879,0.0027824317508062,-0.105731505047317,-4.22949238225698,FALSE,TRUE,TRUE
1584,0.000691726081621055,0.0026184788460076,-0.102531971381246,-3.88988889151143,FALSE,TRUE,TRUE
1953,0.000864686404310463,0.00261829379947989,-0.10248756470215,-3.47874042155142,FALSE,TRUE,TRUE
1587,0.000496396865550006,0.00257420686871475,-0.101736392800765,-4.55333270637396,FALSE,TRUE,TRUE
1585,0.000636009962098251,0.00250058535305316,-0.100204914366814,-3.96442974796554,FALSE,TRUE,TRUE
1952,0.000756730808520867,0.00229847786014381,-0.0960250081813259,-3.48429619017164,FALSE,TRUE,TRUE
1586,0.000489608379174095,0.0022504928775665,-0.0950952592577232,-4.28684768589413,FALSE,TRUE,TRUE
1956,0.00089728803622837,0.00213439270675968,-0.0925020248462542,-3.08323260579109,FALSE,TRUE,TRUE
1954,0.000749624654923954,0.0021226002242886,-0.0922680623956825,-3.36418079794544,FALSE,TRUE,TRUE
3752,0.000877872408586728,0.00207131138033124,-0.0911239210446151,-3.07076286718054,FALSE,TRUE,TRUE
3753,0.000833492172169858,0.00206789417773137,-0.0910545298573298,-3.14892503822702,FALSE,TRUE,TRUE
3433,0.000437031923079049,0.00192646177134842,-0.0879745945186537,-4.19815715132268,FALSE,TRUE,TRUE
3430,0.000606009714932155,0.00191971344810577,-0.0877631540935111,-3.55858032179528,FALSE,TRUE,TRUE
1589,0.000428054467979927,0.0019062703449018,-0.087514429767658,-4.21968229412847,FALSE,TRUE,TRUE
3434,0.000348688996695613,0.00168705782897808,-0.082345598624207,-4.39845475521433,FALSE,TRUE,TRUE
1955,0.000587820581114502,0.00161896806944561,-0.0805784513776658,-3.31817328389175,FALSE,TRUE,TRUE
1590,0.000327968463046182,0.00159804524363378,-0.0801452507389724,-4.41405011522859,FALSE,TRUE,TRUE
1591,0.000499599067220615,0.0015955156505641,-0.0800111498271321,-3.57323193594683,FALSE,TRUE,TRUE
3431,0.000469192625375776,0.00132190675373721,-0.0728139626074154,-3.35623923369106,FALSE,TRUE,TRUE
3428,0.000553989535507396,0.00128168841909843,-0.0716787878423757,-3.04123594241275,FALSE,TRUE,TRUE
303,0.000423256432633313,0.00126772339075807,-0.0713127281547677,-3.46057714667419,FALSE,TRUE,TRUE
3435,0.000295142246179128,0.00112395619342682,-0.0671761330103887,-3.90233815460145,FALSE,TRUE,TRUE
304,0.000319863232963068,0.00103472748835799,-0.0644351022029981,-3.59659353428481,FALSE,FALSE,FALSE
3437,0.000362027551232806,0.000952335531283972,-0.061796906987563,-3.24321358709969,FALSE,FALSE,FALSE
3436,0.000295712839603826,0.000920550847189059,-0.0607722952303765,-3.5282111908243,FALSE,FALSE,FALSE
305,0.00032579479096296,0.000866044874276761,-0.0589316057121289,-3.26029853185257,FALSE,FALSE,FALSE
