"Step","Predictor_Added","R_squared","Adj_R_squared","Delta_R_squared"
1,"log_energy",0.814088900436572,0.814040270800275,0.814088900436572
2,"year",0.849627893050778,0.849549205396697,0.0355389926142058
3,"log_oil",0.861974566148387,0.861866197579543,0.0123466730976092
