"Index","Leverage","Cooks_D","DFFITS","Std_Residual","High_Leverage","High_Cooks","High_DFFITS"
3394,0.00553226117822924,0.0104734408002943,-0.27114548390646,-3.63025993882746,TRUE,TRUE,TRUE
3397,0.00410283439472162,0.0068563251089656,-0.219344565605923,-3.41318615734124,TRUE,TRUE,TRUE
3396,0.0039131916586725,0.00614064624236239,-0.207564359417409,-3.3077988670026,TRUE,TRUE,TRUE
3395,0.0039119397987769,0.00612719287563778,-0.207336372628438,-3.30470411770982,TRUE,TRUE,TRUE
1906,0.00439529219455641,0.00598691253789969,0.204915472229461,3.08105940344672,TRUE,TRUE,TRUE
2493,0.00410080914056266,0.00565286835541314,0.199119399001937,3.09996197845563,TRUE,TRUE,TRUE
1911,0.00246265369743658,0.00397678123805336,0.167043017504469,3.35797748694529,FALSE,TRUE,TRUE
1908,0.0021497627607422,0.00390816174770032,0.165622716270429,3.56346665702225,FALSE,TRUE,TRUE
1905,0.00244958860880329,0.00357792882954601,0.158425274947435,3.19363822618968,FALSE,TRUE,TRUE
1903,0.00216732605156321,0.00315740371094676,0.148823835694962,3.18992749749493,FALSE,TRUE,TRUE
1904,0.00217220305924257,0.00303627887884979,0.145934388322373,3.12462165162958,FALSE,TRUE,TRUE
1907,0.00151878302423594,0.00303317284750195,0.145930238159699,3.73611024088568,FALSE,TRUE,TRUE
1909,0.00174681879386669,0.00298915705376006,0.144834137158439,3.45795876793664,FALSE,TRUE,TRUE
1910,0.00145804940786624,0.00239599473122294,0.129662957259699,3.38913592066082,FALSE,TRUE,TRUE
1896,0.00146792990698578,0.00190485160407223,0.115580010589486,3.01167388802506,FALSE,TRUE,TRUE
2186,0.00117199731469784,0.00165628095579314,0.107785340895195,3.14338857694236,FALSE,TRUE,TRUE
1912,0.000977430783596454,0.00149837494941972,0.102528577245647,3.27419028290365,FALSE,TRUE,TRUE
2183,0.00103965667883957,0.00146651908446856,0.101422824280682,3.14066800012156,FALSE,TRUE,TRUE
2184,0.000978427560253391,0.0014299663242137,0.100154987770768,3.19694393017768,FALSE,TRUE,TRUE
1913,0.000805349252184449,0.00128727482456512,0.0950371277201936,3.3436251111547,FALSE,TRUE,TRUE
2185,0.000894769534042227,0.00115162022276372,0.0898676438445615,3.00022401769141,FALSE,TRUE,TRUE
