"Step","Predictor_Added","R_squared","Adj_R_squared","Delta_R_squared"
1,"log_energy",0.257296247307153,0.25712578511925,0.257296247307153
2,"log_flaring",0.339752315102079,0.339449171077792,0.0824560677949261
3,"log_nitrous",0.379099375938611,0.378671660238913,0.0393470608365317
4,"log_methane",0.393281516533041,0.392724127021358,0.0141821405944296
5,"log_gdp",0.400848493312696,0.400160288044275,0.00756697677965573
6,"log_land_use",0.407428316914117,0.406611352277509,0.00657982360142045
