"Variable","VIF"
"energy_per_capita",3.41301337360712
"methane_per_capita",3.10515474530933
"oil_co2_per_capita",2.9603935420026
"flaring_co2_per_capita",2.23894383633289
"cement_co2_per_capita",1.67550626473951
"nitrous_oxide_per_capita",1.41035552413521
"coal_co2_per_capita",1.30184525423872
"year",1.15349717738527
"land_use_change_co2_per_capita",1.15019564179915
