"Index","Std_Residual","Fitted","Leverage","Cooks_D"
2777,-9.42717671552309,103871.036931587,0.0327982894567267,0.301368207322971
2778,-9.00524930308326,102370.286577473,0.0265099282514669,0.220835305557795
2794,7.34652202261852,97116.0854640445,0.0406704236567925,0.228809700141777
2773,-6.61962007944718,73488.7596449337,0.0213030910896475,0.0953807069401866
2776,-6.53578398448737,71886.4365473994,0.0232138713951369,0.101518097483017
2795,6.35934520540638,105360.360652743,0.0480149145949716,0.203972123528674
2775,-6.31414037089581,70212.0120582541,0.0213697564569015,0.0870581441189645
2885,6.14691233741352,-16856.7862155868,0.170016649907286,0.773991360968751
2774,-6.13529307471104,68919.3762547395,0.0185044098356614,0.0709671741583196
2796,6.10601572061978,106209.183419858,0.0526161844253605,0.207066205943093
2793,6.02576747021403,84746.1483704947,0.0264890942242407,0.0987986531521236
2770,-5.75467274979144,73149.8528204871,0.0184810826377145,0.0623548154165
2797,5.63558703609139,104578.758985743,0.0434667837560249,0.144323075029715
2779,-5.27530637877198,71066.0632422503,0.0202362007636034,0.0574781743929363
2803,5.15624493081698,81577.45080524,0.0237526222910018,0.0646872606614925
2771,-4.96039447864877,64292.4609103311,0.0206632591576617,0.0519157587531799
2805,4.84516188425635,87781.7434140079,0.0227730230132302,0.054706864200396
2804,4.81508011198616,86224.3335966899,0.0251328136182201,0.0597726750405248
2519,4.64133593993847,45604.964881972,0.00252712829837276,0.00545773199428442
2802,4.63153632575138,91431.8176421814,0.026759244322806,0.058979855859753
2801,4.56493969935895,92893.9958967806,0.0268062509341059,0.057399334635314
2799,4.5587332958441,101923.232922,0.036253879067279,0.0781772174614537
2800,4.54674151888762,94089.1945723454,0.0267600949106581,0.0568418589316764
2772,-4.50973165516466,57467.8129170332,0.0127537765893285,0.0262733060743429
2516,4.42657201912728,44330.0340624299,0.00232813400799407,0.00457251688944352
2798,4.36027801973187,109442.262957405,0.0425360557642229,0.0844623481997176
3226,4.25884817478377,24333.0515631988,0.000981030062740665,0.00178111883909926
3225,4.22035571264043,24013.411761889,0.000942119260138905,0.00167962893033951
2518,4.16953410826914,47925.969938472,0.0029666700568149,0.00517290655583609
2769,-4.16220003859349,62350.0949279544,0.0140711902877634,0.0247247083090384
2792,4.15207745308495,79441.2473932191,0.0202031835381756,0.0355479595876454
2515,4.14362416318356,46568.7710892354,0.00263927265094503,0.00454352276290097
3222,4.08927157803479,24811.7720379127,0.000843314438207875,0.00141139262970128
2514,4.06415691634029,47163.1998752906,0.00274890222680522,0.00455297960919982
3223,4.04230952778034,25509.0039680424,0.000894267072025901,0.00146256413461276
2512,4.00882901898633,46054.5108576558,0.00263860273514127,0.00425164035333218
2510,3.99042707062575,44792.7643129273,0.00232144920813026,0.00370516289902136
3221,3.97940268256981,24536.6976230521,0.000810378237411413,0.00128432705657405
2513,3.97686213357263,46577.0812038452,0.00274692879854253,0.00435635327244497
2508,3.97469532620889,43994.9067030993,0.00211772997784573,0.00335273297854169
2517,3.96450219407818,47018.2572333998,0.0028388008761943,0.00447452443942609
3220,3.96346265501554,24427.8703062771,0.000787130094105328,0.00123747957304723
2511,3.94988670534981,45913.4393763744,0.00254632318326411,0.00398281437955799
3224,3.94022618070227,24511.6216710934,0.000903309083414327,0.00140368985628095
3219,3.83194508775517,25061.0556057352,0.00077560943842678,0.00113977365114768
2507,3.75839176216456,43837.6309099583,0.00204285137218957,0.0028915384536801
3218,3.73887417224677,25622.1214628355,0.000769142859450339,0.00107602627155778
2509,3.70477867297901,47607.6173620595,0.0028805131007478,0.00396503647458042
3215,3.67203464398797,25139.0490602737,0.000730382983439228,0.000985556447485219
2782,-3.61860045011065,73546.8473874069,0.0546662193861726,0.0757207886174245
3217,3.611110354505,26140.0427373597,0.000793926311980497,0.00103611187503046
3216,3.60641246719695,25809.9774525147,0.000769632846024865,0.00100177170624024
2781,-3.57133509533414,69459.4563671927,0.0521130727458938,0.0701215246976582
2886,3.40606645943086,4946.47622651332,0.0610325980277312,0.0754080269383166
3214,3.40245665901564,26255.7202673254,0.000785905751281196,0.000910535995930315
2506,3.38900833530597,45405.9266837827,0.0023452562402728,0.00269994739309171
3212,3.3157497976674,26166.7620326322,0.000777194019728063,0.000855126993892397
1381,-3.3082854838377,70089.8794679337,0.0112279172262485,0.0124282209337272
2780,-3.2973187493325,61202.3638003051,0.0622086390174289,0.0721217633646497
1377,-3.28311974578159,66870.5637667972,0.00963419500804288,0.0104855989320614
1376,-3.258532376496,66169.841134718,0.00997057034693838,0.0106934040828585
3213,3.24989504398265,25811.8841890605,0.000764071272975376,0.000807615232500134
1379,-3.24868373641172,68047.2802214379,0.0107926857846924,0.0115148181313709
1378,-3.22230290819968,66496.3878926896,0.0101734549111618,0.0106719085409027
1648,3.20126525599909,30839.5874969784,0.00250460680032127,0.00257319073551822
3211,3.18592594558882,25848.4159913874,0.000759080054017196,0.000771060974353131
1375,-3.18125267998064,66988.7828189089,0.0091188482433867,0.00931353930726596
1380,-3.17402595484282,67579.0842163235,0.0106179756473433,0.0108118162690166
1383,-3.17331397629717,71512.7480509377,0.0114623891161701,0.0116763751209725
1645,3.16058185723921,30555.6698392271,0.00227029681019601,0.00227302296124723
1384,-3.13509541869212,72055.1495795194,0.0117824440416565,0.0117188325226968
1382,-3.07318291085672,69859.8964823609,0.0109748390367919,0.010480153366258
2505,3.06579899814196,48284.0066851564,0.00301896625780741,0.00284615611832895
