"fuel_type","mean_value","median_value"
"cement_co2",0.146148148148148,0.1075
"coal_co2",1.11753488372093,0.346
"flaring_co2",0.0787865853658537,0.0015
"gas_co2",2.12041666666667,0.8325
"oil_co2",1.8457743902439,1.247
