"iso_code","gdp_per_capita"
"QAT",131990.525389062
"NOR",88390.412907501
"SGP",81736.3314941818
"ARE",76127.226087657
"CHE",63623.0090818204
"IRL",60350.2965374857
"USA",57075.3361093016
"SAU",56685.8211534662
"LUX",55300.0600506647
"TWN",53282.1771025214
"AUS",51305.3742743737
"DNK",50725.7383838895
"NLD",49128.0399776681
"HKG",47775.8705298334
"KWT",47709.0226095835
