"Step","Predictor_Added","R_squared","Adj_R_squared","Delta_R_squared"
1,"log_energy",0.878425173345419,0.878391204408103,0.878425173345419
2,"log_gas",0.907527762815179,0.907476073470749,0.0291025894697594
3,"log_coal",0.937594144218589,0.937541804948993,0.0300663814034097
4,"log_oil",0.969488062487981,0.969453932803963,0.0318939182693926
5,"log_flaring",0.978413927463802,0.978383737152562,0.00892586497582049
